Tipo,Ricetta,Calorie,Descrizione
Pranzo,Pasta con Pesto di Basilico,400,Cuoci la pasta al dente e scolala. Mescola il pesto di basilico preparato frullando basilico e pinoli e parmigiano e aglio e olio d'oliva con la pasta calda. Servi subito.
Pranzo,Pollo alla Griglia con Salsa BBQ,500,Marina il pollo in una miscela di olio e limone e spezie per almeno 30 minuti. Griglia il pollo a fuoco medio-alto spennellandolo con salsa BBQ durante la cottura fino a quando è ben cotto e caramellato. Servi il pollo caldo accompagnato con ulteriore salsa BBQ a piacere.
Pranzo,Pizza con Funghi e Prosciutto,600,Preparare l'impasto per la pizza con acqua e farina e lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia e aggiungere i funghi cotti in padella e la mozzarella tagliata e il prosciutto e olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Pranzo,Insalata di Quinoa e Verdure Grigliate,450,Cuoci la quinoa e lasciala raffreddare. Griglia verdure a scelta come zucchine e peperoni e melanzane. Mescolale con la quinoa condendo con olio d'oliva succo di limone sale e pepe.
Pranzo,Polpette di Tacchino con Salsa di Pomodoro,550,Mescola carne di tacchino macinata con pane grattugiato e uovo e cipolla tritata e spezie formando delle polpette. Rosola le polpette in una padella con olio fino a doratura poi aggiungi una salsa di pomodoro preparata con pomodori pelati e aglio e basilico. Cuoci a fuoco lento fino a quando le polpette sono ben cotte e immerse nel sugo.
Pranzo,Pasta con Salsa di Formaggio e Broccoli,400,Cuoci i broccoli e la pasta insieme poi scola il tutto. Prepara una salsa di formaggio sciogliendo burro e aggiungendo panna e formaggio grattugiato. Mescola con la pasta e i broccoli e servi caldo.
Pranzo,Zuppa di Porri e Patate,300,Soffriggi porri e patate a cubetti in olio fino a quando sono leggermente dorati. Poi aggiungi brodo vegetale e cuoci fino a quando le patate sono tenere. Frulla il tutto fino a ottenere una crema liscia. Aggiusta di sale e pepe e servi caldo con un filo d'olio d'oliva.
Pranzo,Lasagna con Verdure e Formaggio,600,Alterna strati di lasagne precotte con verdure e formaggio come besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Pranzo,Couscous con Pollo e Frutta Secca,500,Cuoci il pollo a cubetti in una padella con spezie e olio poi mescolalo con frutta secca tostata come albicocche e mandorle. Prepara il couscous con brodo. Sgranalo e amalgamalo con il pollo e la frutta secca e servi caldo.
Pranzo,Insalata di Tonno e Patate,400,Lessa le patate fino a quando sono tenere poi raffreddale e tagliale a cubetti. Mescola le patate con tonno sgocciolato e cipolla rossa tritata e pomodorini e olive nere. Condisci con olio d'oliva succo di limone sale e pepe. Servi l'insalata fresca o a temperatura ambiente.
Pranzo,Pasta con Sugo di Carciofi,400,Cuoci i carciofi a fettine in una padella con olio d'oliva e aglio e cipolla fino a quando sono teneri. Aggiungi un po' di brodo e cuoci fino a ottenere una consistenza cremosa. Poi unisci la pasta cotta e mescola bene. Aggiusta di sale e pepe e servi caldo. Eventualmente con una spolverata di parmigiano grattugiato.
Pranzo,Frittata con Pomodorini e Mozzarella,350,Sbatti le uova con sale e pepe. Poi versa il composto in una padella calda con olio. Aggiungi pomodorini tagliati a metà e cubetti di mozzarella. Cuoci a fuoco medio fino a quando la frittata è ben cotta e dorata su entrambi i lati.
Pranzo,Pollo al Limone con Asparagi,500,Rosola i pezzi di pollo in una padella con olio aggiungendo succo di limone e aglio e spezie. Aggiungi gli asparagi tagliati e cuoci fino a quando il pollo è ben cotto e gli asparagi sono teneri. Poi servi il piatto caldo.
Pranzo,Pizza con Verdure e Formaggio,600,Preparare l'impasto per la pizza con acqua e farina e lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia e aggiungere verdure a scelta tagliate e la mozzarella tagliata. Anche olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Pranzo,Insalata di Ceci e Peperoni,400,Mescola ceci cotti e scolati con peperoni tagliati a cubetti e cipolla rossa. Condisci con olio d'oliva e succo di limone e sale e pepe. Servi l'insalata fresca o a temperatura ambiente.
Pranzo,Spaghetti con Sugo di Melanzane,400,Rosola melanzane a cubetti in olio d'oliva fino a quando sono dorate e tenere. Poi aggiungi salsa di pomodoro e cuoci fino a far amalgamare i sapori. Cuoci gli spaghetti al dente. Scolali e mescolali con il sugo di melanzane servendo caldo con basilico fresco e parmigiano se desideri.
Pranzo,Polpettone di Carne con Patate,550,Mescola carne macinata con uova e pane grattugiato e cipolla tritata e spezie. Forma un polpettone e cuocilo in forno a 180°C per circa 40-50 minuti. Intorno al polpettone sistema patate tagliate a cubetti condite con olio sale e pepe. Cuoci il tutto insieme fino a quando il polpettone è cotto e le patate sono dorate e tenere.
Pranzo,Pasta con Salsa di Gorgonzola e Noci,400,Sciogli il gorgonzola in una padella con un po' di panna e pepe fino a ottenere una salsa cremosa. Mescola la pasta cotta con la salsa e aggiungi noci tritate. Servi subito guarnendo con ulteriori noci e un po' di prezzemolo se desideri.
Pranzo,Zuppa di Cavolo e Fagioli,300,Soffriggi cipolla e aglio e carote in olio. Aggiungi cavolo tagliato a striscioline e fagioli precotti coprendo con brodo vegetale. Cuoci a fuoco lento fino a quando il cavolo è tenero. Aggiusta di sale e pepe e servi caldo.
Pranzo,Pollo alla griglia con Salsa di Yogurt,450,Marina il pollo con olio e succo di limone e aglio e spezie per almeno 30 minuti. Griglia il pollo fino a doratura e cottura completa spennellandolo occasionalmente con la marinata. Prepara la salsa di yogurt mescolando yogurt greco con erbe fresche tritate e succo di limone e sale e pepe. Servi insieme al pollo grigliato.
Pranzo,Pasta al Forno con Salsiccia e mozzarella,600,"Cuoci la pasta al dente e scolala. Rosola la salsiccia sbriciolata in una padella poi mescolala con salsa di pomodoro e amalgama con la pasta aggiungendo mozzarella a cubetti. Trasferisci il tutto in una teglia e cospargi con parmigiano grattugiato. Cuoci in forno a 180°C per circa 25-30 minuti fino a quando la superficie è dorata e croccante."
Pranzo,Insalata di orata e avocado,400,"Cuoci filetti di orata al vapore o alla griglia e lasciali raffreddare poi sbriciolali delicatamente. Mescola il pesce con avocado a cubetti e pomodorini e cipolla rossa. Condisci con olio d'oliva e succo di limone e sale e pepe."
Pranzo,Polpettine di manzo con salsa di peperoni,500,Forma delle polpettine con carne macinata  pane grattugiato uovo e spezie. Cuocile in una padella con olio fino a doratura. Prepara la salsa frullando peperoni arrostiti con cipolla e aglio e pomodoro. Cuocila con le polpettine fino a quando sono ben cotte e immerse nel sugo.
Pranzo,Risotto con asparagi e parmigiano,500,Soffriggi cipolla in olio e aggiungi il riso e tostalo leggermente. Poi cuoci aggiungendo gradualmente brodo caldo. A metà cottura unisci gli asparagi a pezzetti e quando il risotto è cremoso manteca con parmigiano grattugiato e un po' di burro prima di servire.
Pranzo,Pasta con crema di zucchine e basilico,400,Cuoci le zucchine a pezzetti in olio d'oliva con aglio fino a quando sono tenere. Poi frullale con basilico fresco e un po' di panna o brodo per ottenere una crema. Mescola la crema con la pasta cotta al dente e servi caldo guarnendo con foglie di basilico e parmigiano se desideri.
Pranzo,Stufato di pollo con patate e carote,550,Rosola i pezzi di pollo in una pentola con olio. Poi aggiungi cipolla e carote e patate a cubetti. Copri con brodo di pollo. Cuoci a fuoco lento fino a quando il pollo è tenero e le verdure sono cotte aggiustando di sale e pepe.
Pranzo,Insalata di riso con pollo e mango,450,Cuoci il riso e lascialo raffreddare. Griglia il pollo e taglialo a cubetti. Unisci il riso con il pollo e il mango a pezzi e condisci con olio d'oliva e succo di lime.
Pranzo,Polpette di lenticchie con salsa di pomodoro,400,Cuoci le lenticchie fino a renderle tenere e poi scolale. Frulla le lenticchie con pane grattugiato e spezie quindi forma delle polpette. Cuoci le polpette in padella e servile con salsa di pomodoro calda.
Cena,Filetto di Manzo con Salsa al Vino Rosso,500,Rosola il filetto di manzo in padella fino a raggiungere la cottura desiderata. Rimuovi il filetto e nella stessa padella riduci il vino rosso con burro e brodo per creare la salsa. Versa la salsa sul filetto e servi immediatamente.
Cena,Insalata di Pollo e Mandorle,400,Cuoci il petto di pollo e lascialo raffreddare. Taglia il pollo a strisce o cubetti. Tosta le mandorle in una padella fino a doratura. Mescola il pollo con le mandorle e aggiungi insalata verde e condisci con olio d'oliva e aceto.
Cena,Lasagna di Pesce con Spinaci,600,Alterna strati di lasagne precotte con pesce lessato e cucinato e spinaci (far saltare tutto in padella insieme) e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Stufato di Manzo con Patate e Carote,550,Rosola i pezzi di manzo in una pentola fino a doratura. Aggiungi cipolla e aglio tritati e cuoci per qualche minuto. Unisci patate e carote tagliate a pezzi e copri con brodo. Cuoci a fuoco lento fino a quando la carne e le verdure sono tenere.
Cena,Pollo al Curry con Riso Basmati,450,Cuoci il riso basmati e mettilo da parte. Rosola i pezzi di pollo in una padella fino a doratura. Aggiungi cipolla aglio e spezie da curry e cuoci per qualche minuto. Versa il latte di cocco o brodo e cuoci a fuoco lento fino a quando il pollo è cotto e la salsa è densa.
Cena,Quiche di Funghi e Formaggio,400,Stendi la pasta brisée in una teglia e bucherella il fondo. Rosola i funghi in padella fino a quando sono dorati. Mescola uova panna e formaggio grattugiato in una ciotola. Versa i funghi sulla pasta e aggiungi il composto di uova e cuoci in forno fino a doratura.
Cena,Spaghetti Carbonara,500,Cuoci gli spaghetti in abbondante acqua salata. Rosola il guanciale in una padella fino a renderlo croccante. Sbatti le uova con il pecorino grattugiato in una ciotola. Mescola gli spaghetti scolati con il guanciale e aggiungi il composto di uova mescolando rapidamente fuori dal fuoco.
Cena,Filetti di Sogliola al Limone,350,Infarina leggermente i filetti di sogliola. Scalda l'olio in una padella e cuoci i filetti fino a doratura. Spremi il succo di limone sui filetti e lascia insaporire. Servi i filetti caldi con una spolverata di prezzemolo.
Cena,Polpettone di Carne con Purè di Patate,550,Mescola carne macinata con uova pane grattugiato cipolla tritata e spezie. Forma un polpettone e cuocilo in forno a 180°C per circa 40-50 minuti. Prepara il purè di patate cuocendo le patate e schiacciandole con burro e latte. Servi il polpettone con il purè di patate caldo.
Cena,Insalata di Tonno e Fagioli,450,Scola il tonno e i fagioli e mescolali in una ciotola. Aggiungi cipolla rossa tritata e pomodorini tagliati e olive nere. Condisci con olio d'oliva succo di limone sale e pepe. Mescola bene e servi l'insalata fresca.
Cena,Pizza con Prosciutto e Funghi,600,Preparare l'impasto per la pizza con acqua e farina e lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia e aggiungere i funghi cotti e tagliati. Aggiungere anche il prosciutto la mozzarella tagliata olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Cena,Frittata di Asparagi e Pomodorini,350,Rosola gli asparagi e i pomodorini in una padella con un po' di olio fino a quando sono teneri. Sbatti le uova con sale e pepe e versa il composto sulla verdura. Cuoci la frittata a fuoco medio fino a quando è ben cotta e dorata su entrambi i lati. Servi calda o a temperatura ambiente.
Cena,Stufato di Pollo con Olive e Peperoni,500,Rosola i pezzi di pollo in una pentola con olio fino a doratura. Aggiungi cipolla e peperoni a strisce e cuoci fino a quando sono teneri. Unisci olive nere e un po' di brodo o vino bianco. Cuoci a fuoco lento fino a quando il pollo è tenero e il sugo si è addensato.
Cena,Risotto con Zafferano e Gamberi,500,Soffriggi cipolla tritata in olio o burro e aggiungi il riso. Versa gradualmente brodo caldo e cuoci il riso mescolando spesso. A metà cottura aggiungi lo zafferano sciolto in un po' di brodo e i gamberi sgusciati. Completa la cottura fino a quando il risotto è cremoso e i gamberi sono cotti poi manteca con parmigiano grattugiato.
Cena,Pollo alla Griglia con Salsa di Menta,450,Marina il pollo con olio e succo di limone e spezie. Griglia il pollo fino a cottura completa e doratura. Prepara la salsa di menta frullando menta fresca con yogurt e succo di limone e sale e pepe. Servi il pollo grigliato con la salsa di menta sopra.
Cena,Lasagna Vegetariana,600,Alterna strati di lasagne precotte con strati di verdure a scelta precotte e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e pomodoro e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Couscous con Verdure e Ceci,400,Cuoci il couscous secondo le istruzioni sulla confezione e sgranalo con una forchetta. In una padella salta le verdure a cubetti come zucchine o peperoni e carote con olio d'oliva. Aggiungi i ceci precotti e mescola bene. Unisci il couscous alle verdure e ai ceci. Condisci con sale pepe e spezie a piacere. Servi caldo.
Cena,Sushi di Salmone e Avocado,500,Cuoci il riso per sushi e lascialo raffreddare. Stendi una foglia di alga nori su un foglio di plastica e distribuisci il riso uniformemente sopra. Aggiungi fettine di salmone e avocado sulla parte superiore del riso. Arrotola l'alga con il riso e gli ingredienti all'interno usando un tappetino di bambù e taglia in pezzi.
Cena,Polpettine di Tacchino con Salsa di Yogurt,450,Mescola carne di tacchino macinata con pane grattugiato e uovo e cipolla tritata e spezie. Forma delle polpettine e cuocile in padella con olio fino a doratura. Prepara la salsa di yogurt mescolando yogurt greco con erbe fresche tritate e succo di limone e sale e pepe. Servi le polpettine calde con la salsa di yogurt.
Cena,Risotto con Funghi e Tartufo,500,Soffriggi cipolla e funghi in una padella con burro. Aggiungi il riso e tostalo per un paio di minuti. Versa gradualmente brodo caldo mescolando frequentemente e cuoci fino a quando il riso è al dente. Manteca con burro e scaglie di tartufo e servi caldo con parmigiano grattugiato se desideri.
Cena,Frittata con Spinaci e Feta,350,Soffriggi gli spinaci in una padella con un po' di olio fino a quando sono appassiti. Sbatti le uova con sale e pepe e versa il composto sugli spinaci. Aggiungi pezzetti di feta e cuoci la frittata a fuoco medio fino a quando è ben cotta e dorata su entrambi i lati. Servi la frittata calda o a temperatura ambiente.
Cena,Spaghetti con Salsa di Pomodoro e Basilico,400,Cuoci gli spaghetti in abbondante acqua salata fino a quando sono al dente. In una padella prepara la salsa soffriggendo aglio in olio d'oliva poi aggiungi pomodori pelati e cuoci fino a quando si addensa. Aggiungi foglie di basilico fresco alla salsa e mescola. Scola gli spaghetti e condisci con la salsa di pomodoro e basilico servendo caldo.
Cena,Stufato di Agnello con Patate,600,Rosola i pezzi di agnello in una pentola con olio fino a doratura. Aggiungi cipolla tritata e cuoci fino a quando è morbida. Unisci patate a cubetti e copri con brodo di carne. Cuoci a fuoco lento fino a quando l'agnello è tenero e le patate sono cotte.
Cena,Insalata di Avocado e Gamberi,400,Cuoci i gamberi in una padella con olio fino a quando sono ben cotti e lasciali raffreddare. Taglia l'avocado a cubetti e mescolalo con i gamberi. Aggiungi pomodorini tagliati e cipolla rossa tritata. Condisci con olio d'oliva e succo di limone e sale e pepe. Servi fresco.
Cena,Pollo alla Griglia con Salsa di Ananas,450,Marina il pollo con succo di lime e olio e spezie per almeno 30 minuti. Griglia il pollo fino a cottura completa e doratura. Prepara la salsa frullando ananas con zucchero di canna e un po' di succo di lime. Servi il pollo grigliato con la salsa di ananas sopra.
Cena,Lasagna con Ragu di Manzo,600,Alterna strati di lasagne precotte con ragù di carne (preparato con carne di manzo e pomodoro e spezie) e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Quiche di Zucchine e Prosciutto,400,Taglia le zucchine a rondelle e cuocile in padella con un filo d'olio. Stendi la pasta sfoglia in una teglia e distribuisci le zucchine e il prosciutto sopra. Sbatti le uova con il formaggio grattugiato e versale sulle zucchine e il prosciutto. Cuoci in forno a 180°C per circa 30 minuti fino a doratura.
Cena,Spaghetti con Salsa di Carciofi e Limone,400,Cuoci gli spaghetti in acqua salata fino a quando sono al dente. Pulisci i carciofi e cuocili in padella con olio e aglio fino a quando sono teneri. Frulla i carciofi con succo di limone e un po' di acqua di cottura della pasta. Mescola gli spaghetti con la salsa di carciofi e servi caldi.
Cena,Stufato di Pollo con Patate e Piselli,500,Taglia il pollo a pezzi e rosolalo in una pentola con olio fino a doratura. Aggiungi le patate pelate e tagliate a cubetti insieme ai piselli. Versa del brodo nella pentola e lascia cuocere a fuoco lento fino a quando il pollo e le patate sono teneri. Aggiusta di sale e pepe prima di servire caldo.
Cena,Polpettone di Tacchino con Salsa di Pomodoro,500,Mescola la carne di tacchino macinata con pangrattato e uova e spezie in una ciotola. Forma un polpettone e disponilo in una teglia da forno. Cuoci in forno a 180°C fino a doratura e cottura completa. Prepara una salsa di pomodoro e versala sul polpettone prima di servire.
Cena,Insalata di Feta e Pomodori Secchi,350,Taglia la feta a cubetti e mettila in una ciotola. Aggiungi i pomodori secchi tagliati a strisce. Condisci con olio d'oliva e origano. Mescola bene e servi l'insalata fresca.
Cena,Frittata con Broccoli e Cheddar,350,Cuoci i broccoli a vapore fino a renderli teneri. Sbatti le uova in una ciotola e aggiungi il formaggio cheddar grattugiato. Mescola i broccoli cotti con le uova e versa il composto in una padella calda. Cuoci la frittata fino a quando è dorata e ben cotta.
Cena,Spaghetti con Salsa di Melanzane e Basilico,400,Taglia le melanzane a cubetti e falle rosolare in padella fino a doratura. Cuoci gli spaghetti in abbondante acqua salata. Prepara una salsa con le melanzane cotte e il basilico fresco e un po' di olio d'oliva. Scola gli spaghetti e mescolali con la salsa di melanzane e basilico.
Cena,Pollo al Forno con Patate e Rosmarino,500,Taglia le patate a pezzi e mettile in una teglia con olio e rosmarino. Disponi il pollo sopra le patate e condiscilo con sale e pepe. Cuoci in forno preriscaldato a 180°C per circa un'ora. Verifica la cottura del pollo e delle patate prima di servire.
Cena,Risotto con Radicchio e Speck,500,Soffriggi lo speck in una padella fino a renderlo croccante. Aggiungi il radicchio tagliato a strisce e cuoci finché appassisce. Unisci il riso e tostalo per un paio di minuti. Aggiungi il brodo poco alla volta fino a cottura ultimata del riso.
Cena,Pizza con Tonno e Cipolle,600,Preparare l'impasto per la pizza con acqua e farina e lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia e aggiungere il tonno sgocciolato insieme a la mozzarella tagliata e la cipolla tagliata e olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Cena,Lasagna con Ricotta e Spinaci,600,Alterna strati di lasagne precotte con ricotta e spinaci e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Polpette di Carne con Salsa di Yogurt e Cetrioli,500,Mescola la carne macinata con pangrattato e uovo e spezie. Forma delle polpette e cuocile in una padella fino a doratura. Prepara la salsa mescolando yogurt e cetrioli grattugiati. Servi le polpette con la salsa di yogurt e cetrioli.
Cena,Insalata di Pollo e Avocado con Salsa di Lime,450,Griglia il petto di pollo e taglialo a strisce. Taglia l'avocado a cubetti e mettilo in una ciotola. Prepara la salsa mescolando succo di lime e olio d'oliva e spezie. Mescola il pollo e l'avocado con la salsa di lime.
Cena,Spaghetti con Salsa di Peperoni e Pomodori,400,Arrostisci i peperoni fino a quando la pelle è bruciata. Rimuovi la pelle dai peperoni e tagliali a pezzetti. In una padella cuoci i pomodori tritati e i peperoni con olio d'oliva fino a ottenere una salsa densa. Cuoci gli spaghetti e condiscili con la salsa di peperoni e pomodori.
Cena,Stufato di Vitello con Patate e Cipolle,600,Rosola i pezzi di vitello in una pentola con olio fino a dorarli. Aggiungi cipolle affettate e cuoci fino a quando sono trasparenti. Unisci le patate tagliate a cubetti e aggiungi brodo. Copri e lascia cuocere a fuoco lento fino a quando il vitello e le patate sono teneri.
Cena,Risotto con Zucchine e Gorgonzola,500,Soffriggi cipolla tritata in una pentola con burro. Aggiungi il riso e tosta per un paio di minuti. Unisci le zucchine a cubetti e aggiungi brodo poco alla volta fino a cottura completa del riso. Manteca con il gorgonzola sbriciolato e servi caldo.
Cena,Quiche di Salmone e Porri,400,Prepara la base per la quiche e stendila in una teglia. Cuoci i porri a fettine in una padella con un po' di burro fino a farli diventare morbidi. Distribuisci i porri e il salmone a pezzetti sulla base. Versa un composto di uova e panna sopra e cuoci in forno a 180°C per circa 30 minuti.
Cena,Pollo al Curry con Verdure,500,Taglia il pollo a pezzi e rosolalo in una padella con olio. Aggiungi le verdure tagliate a cubetti e cuoci fino a renderle tenere. Unisci la pasta di curry e mescola bene. Versa del brodo caldo e lascia cuocere fino a ottenere una salsa densa.
Cena,Lasagna con Funghi e Besciamella,600,Alterna strati di lasagne precotte con funghi cucinati in padella e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Frittata con Pomodorini e Mozzarella,350,Sbatti le uova in una ciotola e aggiungi sale e pepe. Taglia i pomodorini a metà e la mozzarella a cubetti. Scalda l'olio in una padella e cuoci i pomodorini per pochi minuti. Versa le uova sbattute nella padella. Distribuisci la mozzarella e cuoci fino a che la frittata è ben dorata.
Cena,Spaghetti con Salsa di Melanzane e Pomodorini,400,Taglia le melanzane a cubetti e falle cuocere in padella con olio fino a che sono tenere. Aggiungi i pomodorini tagliati a metà e cuoci fino a quando si ammorbidiscono. Cuoci gli spaghetti in acqua salata e scolali al dente. Mescola gli spaghetti con la salsa di melanzane e pomodorini e servi con basilico fresco.
Cena,Polpettone di Manzo con Verdure al Forno,550,Mescola la carne di manzo macinata con uova pangrattato e spezie. Forma un polpettone e sistemalo su una teglia. Taglia le verdure a pezzi e distribuiscile intorno al polpettone. Cuoci in forno a 180°C per circa un'ora girando le verdure a metà cottura.
Cena,Insalata di Tonno con Patate e Fagiolini,400,Cuoci le patate in acqua bollente fino a che sono tenere. Aggiungi i fagiolini e cuocili insieme per qualche minuto. Scola e raffredda patate e fagiolini. Mescola con tonno e olio d'oliva e sale.
Cena,Pollo al Forno con Salsa di Peperoni,500,Prepara la salsa frullando peperoni arrostiti con aglio e olio d'oliva. Condisci il pollo con sale e pepe e disponilo in una teglia. Versa la salsa di peperoni sul pollo. Cuoci in forno a 180°C per circa 45 minuti fino a cottura completa.
Cena,Risotto con Asparagi e Tartufo,500,Inizia cuocendo gli asparagi in acqua salata e poi tagliali a pezzi. Soffriggi cipolla tritata in olio d'oliva in una pentola. Aggiungi il riso e tostalo per qualche minuto. Versa brodo caldo poco alla volta mescolando poi unisci gli asparagi e il tartufo grattugiato e cuoci fino a quando il risotto è cremoso.
Cena,Quiche di Verdure e Formaggio,400,Prepara la base della quiche stendendo la pasta frolla in una teglia e cuocila in forno per 10 minuti. In una ciotola mescola le uova con la panna e aggiungi il formaggio grattugiato. Distribuisci le verdure tagliate a pezzi sulla base precotta e versa sopra il composto di uova e panna. Cuoci in forno a 180°C per circa 30 minuti fino a doratura.
Cena,Polpettine di Tacchino con Salsa di Pomodoro,450,Mescola la carne di tacchino macinata con pangrattato e uovo e spezie. Forma delle piccole polpettine e cuocile in una padella con un filo d'olio fino a doratura. In un'altra pentola riscalda la salsa di pomodoro e aggiungi le polpettine. Lascia cuocere tutto insieme per circa 15 minuti.
Cena,Pizza con Zucchine e Prosciutto,600,Preparare l'impasto per la pizza con acqua e farina e lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia e aggiungere il prosciutto le verdure la mozzarella tagliate olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Cena,Lasagna con Ragu di Pollo,600,Alterna strati di lasagne precotte con ragù di pollo (preparato con pollo sfilacciato e pomodoro e spezie) e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Cena,Spaghetti con Salsa di Pomodorini e Basilico,400,Cuoci gli spaghetti in abbondante acqua salata. In una padella scalda l'olio e aggiungi i pomodorini tagliati a metà. Cuoci i pomodorini finché non sono morbidi e aggiungi il basilico fresco spezzettato. Mescola la salsa con gli spaghetti cotti e servi caldo.
Cena,Stufato di Manzo con Patate e Piselli,550,Rosola i cubetti di manzo in una pentola con olio caldo. Aggiungi le patate tagliate a pezzi e i piselli. Copri con brodo e cuoci a fuoco lento fino a quando la carne è tenera. Regola di sale e pepe e servi caldo.
Cena,Pollo alla Griglia con Salsa di Ananas e Peperoni,500,Marina i pezzi di pollo con succo di ananas e olio e spezie. Cuoci il pollo alla griglia fino a quando è ben cotto e dorato. In una padella prepara la salsa con ananas e peperoni e un po' di succo di limone. Servi il pollo con la salsa di ananas e peperoni sopra.
Cena,Risotto con Funghi e Mascarpone,500,Soffriggi cipolla e aglio in burro fino a doratura. Aggiungi i funghi e cuoci finché sono teneri. Unisci il riso e tosta per qualche minuto. Aggiungi brodo caldo gradualmente mescolando e alla fine incorpora il mascarpone fino a ottenere una consistenza cremosa.
Cena,Quiche di Prosciutto e Formaggio,400,Prepara la pasta brisée e stendila in una teglia. In una ciotola mescola uova e panna e sale e pepe. Aggiungi il prosciutto e il formaggio grattugiato alla miscela di uova. Versa il composto nella pasta e cuoci in forno preriscaldato a 180°C per 35-40 minuti fino a doratura.
Cena,Spaghetti con Salsa di Carciofi e Parmigiano,400,Cuoci gli spaghetti in acqua salata seguendo le istruzioni. In una padella scalda l'olio e aggiungi i carciofi tagliati a fettine. Cuoci i carciofi fino a quando sono teneri e poi frulla il tutto per ottenere una salsa. Mescola gli spaghetti con la salsa di carciofi e aggiungi il parmigiano grattugiato prima di servire.
Cena,Polpettone di Manzo con Salsa di Pomodoro e Basilico,550,Prepara il polpettone mescolando carne macinata con pane grattugiato e uovo e spezie. Forma un cilindro con il composto e cuocilo in forno a 180°C per circa 60 minuti. In una pentola scalda la salsa di pomodoro e aggiungi foglie di basilico fresco. Servi il polpettone a fette con la salsa di pomodoro e basilico sopra.
Cena,Insalata di Salmone e Rucola,400,Cuoci i filetti di salmone in padella fino a cottura completa. Lascia raffreddare il salmone e spezzettalo. Mescola la rucola con il salmone in una ciotola. Condisci con olio d'oliva e succo di limone e sale e pepe.
Cena,Spaghetti con Salsa di Melanzane e Peperoni,400,Taglia le melanzane e i peperoni a cubetti e rofalli in padella con olio d'oliva fino a renderli morbidi. Aggiungi uno spicchio d'aglio tritato e cuoci per qualche minuto. Unisci i pomodori pelati e lascia cuocere fino a ottenere una salsa densa. Cuoci gli spaghetti al dente e condiscili con la salsa di melanzane e peperoni.
Cena,Stufato di Agnello con Patate e Carote,600,Rosola i pezzi di agnello in una casseruola con olio fino a dorarli. Aggiungi cipolla tritata e cuoci fino a farla diventare trasparente. Unisci le patate e le carote tagliate a pezzi e versa del brodo. Copri e lascia cuocere a fuoco lento fino a quando l'agnello e le verdure sono teneri.
Cena,Pollo al Forno con Salsa di Miele e Senape,500,Prepara la salsa mescolando miele e senape in una ciotola. Spennella il pollo con la salsa e condiscilo con sale e pepe. Cuoci il pollo in forno preriscaldato a 200°C per circa 40 minuti spennellando di tanto in tanto con la salsa. Verifica che il pollo sia ben cotto e servi caldo.
Cena,Quiche di Zucchine e Prosciutto,400,Prepara la base di pasta brisée e stendila in una teglia. In una ciotola mescola le zucchine grattugiate e il prosciutto a pezzetti e un po' di formaggio grattugiato. Versa il composto sulla base di pasta e cuoci in forno preriscaldato a 180°C per circa 35 minuti. Lascia raffreddare leggermente prima di servire.
